,text,top_class,hate_speech,offensive_language,neither
0,hello :D,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
1,oh this song is dank,neither,0.05137280098545539,0.2920837717107433,0.6565434273038013
2,Id be happy looking at the fan art. That stuff is great,neither,0.03978909175143525,0.3444926518926004,0.6157182563559644
3,spice?,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
4,Bidet from Wisconsin,neither,0.04071751644889743,0.3089174816120565,0.6503650019390461
5,gandsRaid gandsSubHype Too all the first time live vewers,neither,0.035417284128428685,0.41061024630654935,0.5539724695650219
6,Good to see some people from Argentina,neither,0.06138983086271769,0.3223598629177861,0.6162503062194963
7,I've never tuned into a livestream before and am excited!,neither,0.022119046971922303,0.3568851178589751,0.6209958351691026
8,Bidet!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
9,lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
10,Bidet from central Iowa,neither,0.04038434874462851,0.31457220705192124,0.6450434442034502
11,"@Davidguy, thanks",neither,0.035884468650613,0.3004919205142699,0.6636236108351171
12,Bidet,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
13,Punks never dies!,neither,0.03606223100387454,0.3648082532600608,0.5991295157360647
14,Pike is here!,neither,0.23309924666169,0.2254461374266117,0.5414546159116982
15,LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
16,omg!!!!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
17,gandsHR gandsHR gandsHR,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
18,WELL DONE SAM,neither,0.038657215430841364,0.34388616684565665,0.6174566177235021
19,Down with Alpha and our corporate overlords! gandsJesstatorship,neither,0.03187793072875952,0.3281026265707545,0.6400194427004859
20,welp,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
21,@GeekandSundry You'll get everything into place. You always do.,neither,0.07561401735874583,0.4306939466517102,0.493692035989544
22,20,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
23,audio low for anyone else?,neither,0.03488050056329134,0.3075275822497832,0.6575919171869256
24,his mic is not on,neither,0.07491477730559347,0.3475425454263805,0.5775426772680261
25,matt is quiet,neither,0.04750803317477744,0.32760566448423445,0.6248863023409881
26,gandsFail,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
27,ga,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
28,no damage?,neither,0.03842954017414374,0.3477504101368871,0.6138200496889692
29,Don't poke the GM with stick... that's a no no,neither,0.02858553546798599,0.3887368511592053,0.5826776133728089
30,pitfiend has 300 HP,neither,0.039807624723883585,0.3243607188137188,0.6358316564623976
31,I have a bad feeling about tonight,neither,0.03206672145846249,0.3440568547491087,0.6238764237924288
32,"@LucasBlackstone Yeah, it's not going to be that bad... Except when the Efreet guards join in along with the demon summoned by the pit fiend. I can't remember what it was.",neither,0.02427466691461519,0.4329669398522992,0.5427583932330856
33,Bidet,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
34,gandsGandsEars gandsGandsEars,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
35,Bidet from Texas!,neither,0.040937266849991,0.30518774380265185,0.6538749893473571
36,Refresh,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
37,thank you geekansundry for fix everything mad fast,neither,0.04516337707802917,0.3426909679425698,0.6121456549794011
