,text,top_class,hate_speech,offensive_language,neither
61,There is a bit of audio issues,neither,0.04534100174042641,0.29713357107707944,0.6575254271824943
62,Burning Wheelchairs? lol,neither,0.030278870834793813,0.3981251484381287,0.5715959807270774
63,"oh sweet, was just checking to see what time this streams, got here in time!",neither,0.06896431903945764,0.3374211485423429,0.5936145324181995
64,nice job on the paper!,neither,0.035925123662878936,0.32768044971565125,0.6363944266214697
65,!wallet,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
66,People are so rude.,neither,0.1304526604311778,0.3171840528351835,0.5523632867336387
67,Bidet and Beep Beep friends!,neither,0.03820992490799913,0.262115437711174,0.699674637380827
68,spice?,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
69,I just use ad blocker to block the pinned cheers. Works just fine. ;),neither,0.02008042170832905,0.3975880716194917,0.5823315066721794
70,"I'm sure VM will be fine, wyverns and lizardfolk are nothing compared to dragons and pit fiends :D",neither,0.051718549155057816,0.34786848630150985,0.6004129645434322
71,gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
72,gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
73,BibleTHump,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
74,BibleThump BUNNY,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
75,er me gerd,neither,0.03002604154497336,0.38252628121340426,0.5874476772416223
76,gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
77,gandsCrit gandsCrit gandsSCANLAN gandsSCANLAN gandsCrit gandsCrit gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
78,Bidet from NYC,neither,0.040817483668844766,0.3072207769958956,0.6519617393352596
79,worldbuilders.org,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
80,Dick and Johnson hype,offensive_language,0.06238811660652385,0.8036598153451859,0.13395206804829024
81,@Nonfic G&S is owned by LDN. Alpha is an LDN intiative that G&S has to participate in but it is not something G&S has any control over,neither,0.04910033253059825,0.36512594248853975,0.5857737249808621
82,S gandsSubHype,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
83,@productighoul good choice. I'll be making my beer fridge when the winds die down.,neither,0.0762508323062965,0.2782818192252142,0.6454673484684892
84,oh man,neither,0.0497452509521963,0.354443561064239,0.5958111879835646
85,"Well that's like, your opinion man.",neither,0.08339569434914776,0.4439453871302793,0.472658918520573
86,Alpha crew are running the cameras like normal,neither,0.0623845724150411,0.3005324751297613,0.6370829524551975
87,bidet from Indiana,neither,0.0408364874901429,0.3068982325524449,0.6522652799574122
88,BACON - VoteYea OR VoteNay,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
89,Ryan shaved his beard.,neither,0.05987454921136996,0.33210680287966154,0.6080186479089685
90,"@Evictor Half-elf Bard/Warlock, I'm a stage magician!",neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
